1800	97.2223
1810	127.77788
1820	152.7779
1830	263.8891
1840	355.55584
1850	569.4449
1860	1061.11196
1870	1641.66798
1880	2541.6687
1890	3855.55864
1900	5727.78236
1910	8655.56248
1920	9833.3412
1930	10125.0081
1940	11586.12038
1950	12602.78786
1960	15441.67902
1965	16322.44092
1966	16512.65763
1967	16247.40207
1968	16493.29564
1969	17008.4716
1970	17244.48525
1971	17139.94314
1972	17338.40421
1973	17673.09391
1974	17687.7423
1975	18031.6491
1976	18688.40966
1977	19241.44147
1978	19456.78595
1979	20359.51044
1980	20856.51935
1981	21148.68072
1982	21384.22049
1983	22040.19421
1984	22997.47253
1985	23906.3229
1986	24182.95534
1987	25145.10228
1988	25889.97449
1989	26152.07667
1990	25817.67196
1991	25533.21512
1992	25466.19301
1993	25586.69484
1994	25721.52297
1995	25856.08385
1996	26511.41236
1997	26532.9869
1998	26342.08007
1999	26527.07361
2000	27421.73054
2001	27876.20723
2002	28956.94683
2003	31507.02955
2004	33687.35365
2005	36152.45507
2006	38043.87536
2007	40172.65615
2008	40744.64348
2009	40130.96665
2010	41985.08246
2011	43990.61475
2012	44161.26699
2013	44973.42328
2014	44940.52703
2015	43832.91321
2016	43147.84934
2017	43245.45931
2018	43869.47664
2019	42120.41491
2020	40193.83353
2021	38120.15235
2022	35931.05697
2023	33658.69172
2024	31334.87727
2025	28990.37918
2026	26654.2505
2027	24353.26718
2028	22111.46994
2029	19949.82129
2030	17885.98051
2031	15934.19494
2032	14105.30085
2033	12406.82352
2034	10843.16314
2035	9415.850856
2036	8123.858282
2037	6963.943437
2038	5931.016613
2039	5018.510953
2040	4218.744303
2041	3523.261056
2042	2923.145109
2043	2409.297533
2044	1972.674915
2045	1604.486566
2046	1296.350725
2047	1040.411479
2048	829.4194312
2049	656.7800015
2050	516.5738377
2051	403.5540658
2052	313.1250939
2053	241.3074727
2054	184.6929322
2055	140.393233
2056	105.9859224
2057	79.45952182
2058	59.16011889
2059	43.74082367
2060	32.11508904
2061	23.41450126
2062	16.95132217
2063	12.18580802
2064	8.698138101
2065	6.164651451
2066	4.338004374
2067	3.030815966
2068	2.102355137
2069	1.447832287
2070	0.989885007
2071	0.671883713
2072	0.452725379
2073	0.302827512
2074	0.20107769
2075	0.13253444
2076	0.086711768
2077	0.056311855
2078	0.036297948
2079	0.023222696
2080	0.014746172
2081	0.009293296
2082	0.005812616
2083	0.003608049
2084	0.00222259
2085	0.001358689
2086	0.000824217
2087	0.000496148
2088	0.000296357
2089	0.000175647
2090	0.000103294
2091	6.02708E-05
2092	3.48914E-05
2093	2.00401E-05
2094	1.14192E-05
2095	6.45523E-06
2096	3.62006E-06
2097	2.01388E-06
2098	1.11135E-06
2099	6.08348E-07
2100	3.30312E-07
